id,name,city,review
1,Hotel1,City1,0.1
2,Hotel2,City2,0.2
3,Hotel3,City3,0.3
4,Hotel4,City4,0.4
5,Hotel5,City5,0.5
6,Hotel6,City6,0.6
7,Hotel7,City7,0.7
8,Hotel8,City8,0.8
9,Hotel9,City9,0.9
10,Hotel10,City10,1.0
11,Hotel11,City11,1.1
12,Hotel12,City12,1.2
13,Hotel13,City13,1.3
14,Hotel14,City14,1.4
15,Hotel15,City15,1.5
16,Hotel16,City16,1.6
17,Hotel17,City17,1.7
18,Hotel18,City18,1.8
19,Hotel19,City19,1.9
20,Hotel20,City20,2.0
21,Hotel21,City21,2.1
22,Hotel22,City22,2.2
23,Hotel23,City23,2.3
24,Hotel24,City24,2.4
25,Hotel25,City25,2.5
26,Hotel26,City26,2.6
27,Hotel27,City27,2.7
28,Hotel28,City28,2.8
29,Hotel29,City29,2.9
30,Hotel30,City30,3.0
31,Hotel31,City31,3.1
32,Hotel32,City32,3.2
33,Hotel33,City33,3.3
34,Hotel34,City34,3.4
35,Hotel35,City35,3.5
36,Hotel36,City36,3.6
37,Hotel37,City37,3.7
38,Hotel38,City38,3.8
39,Hotel39,City39,3.9
40,Hotel40,City40,4.0
41,Hotel41,City41,4.1
42,Hotel42,City42,4.2
43,Hotel43,City43,4.3
44,Hotel44,City44,4.4
45,Hotel45,City45,4.5
46,Hotel46,City46,4.6
47,Hotel47,City47,4.7
48,Hotel48,City48,4.8
49,Hotel49,City49,4.9
50,Hotel50,City50,5.0
51,Hotel51,City51,5.1
52,Hotel52,City52,5.2
53,Hotel53,City53,5.3
54,Hotel54,City54,5.4
55,Hotel55,City55,5.5
56,Hotel56,City56,5.6
57,Hotel57,City57,5.7
58,Hotel58,City58,5.8
59,Hotel59,City59,5.9
60,Hotel60,City60,6.0
61,Hotel61,City61,6.1
62,Hotel62,City62,6.2
63,Hotel63,City63,6.3
64,Hotel64,City64,6.4
65,Hotel65,City65,6.5
66,Hotel66,City66,6.6
67,Hotel67,City67,6.7
68,Hotel68,City68,6.8
69,Hotel69,City69,6.9
70,Hotel70,City70,7.0
71,Hotel71,City71,7.1
72,Hotel72,City72,7.2
73,Hotel73,City73,7.3
74,Hotel74,City74,7.4
75,Hotel75,City75,7.5
76,Hotel76,City76,7.6
77,Hotel77,City77,7.7
78,Hotel78,City78,7.8
79,Hotel79,City79,7.9
80,Hotel80,City80,8.0
81,Hotel81,City81,8.1
82,Hotel82,City82,8.2
83,Hotel83,City83,8.3
84,Hotel84,City84,8.4
85,Hotel85,City85,8.5
86,Hotel86,City86,8.6
87,Hotel87,City87,8.7
88,Hotel88,City88,8.8
89,Hotel89,City89,8.9
90,Hotel90,City90,9.0
