id,name,city,review,createdAt,averagePrice,isActive
1,Grand Plaza Hotel,New York,8.5,2024-04-30,85,1
2,Sunny Beach Resort,Miami,7.9,2024-04-29,79,1
3,Mountain View Lodge,Denver,9.2,2024-04-28,92,1
4,Luxury Oasis Resort,Miami,8.8,2024-04-27,88,1
5,Golden Sands Inn,New York,7.6,2024-04-26,76,1
6,Harbor Lights Hotel,Los Angeles,8.9,2024-04-25,89,1
7,Riverside Retreat,Denver,8.1,2024-04-24,81,1
8,Skyline Tower Hotel,New York,9.0,2024-04-23,90,1
9,Paradise Cove Resort,Miami,8.7,2024-04-22,87,1
10,Alpine View Hotel,Denver,8.3,2024-04-21,83,1
11,Seaside Serenity Inn,Miami,7.4,2024-04-20,74,1
12,Urban Heights Hotel,New York,8.6,2024-04-19,86,1
13,Pacific Breeze Resort,Los Angeles,9.5,2024-04-18,95,1
14,Tranquil Waters Lodge,Miami,8.2,2024-04-17,82,1
15,Highland Haven Inn,Denver,8.9,2024-04-16,89,1
16,Marina Vista Hotel,New York,7.8,2024-04-15,78,1
17,Sunrise Springs Resort,Los Angeles,9.1,2024-04-14,91,1
18,Misty Mountain Lodge,Denver,8.4,2024-04-13,84,1
19,Beachfront Bliss Hotel,Miami,8.0,2024-04-12,80,1
20,Cityscape Inn,New York,8.3,2024-04-11,83,1
21,Palm Grove Resort,Los Angeles,9.3,2024-04-10,93,1
22,Pinecrest Paradise Inn,Denver,7.7,2024-04-09,77,1
23,Sunset Harbor Hotel,Miami,8.5,2024-04-08,85,1
24,Golden Gate Hotel,New York,9.4,2024-04-07,94,1
25,Ocean View Lodge,Los Angeles,8.6,2024-04-06,86,1
26,Rocky Mountain Retreat,Denver,8.0,2024-04-05,80,1
27,Waterfront Dreams Resort,Miami,9.0,2024-04-04,90,1
28,Cosmopolitan Heights Hotel,New York,7.9,2024-04-03,79,1
29,Pacific Palms Inn,Los Angeles,8.2,2024-04-02,82,1
30,Valley Vista Lodge,Denver,9.5,2024-04-01,95,1
31,Grand Plaza Hotel,Los Angeles,9.0,2024-03-31,90,1
32,Sunny Beach Resort,New York,8.3,2024-03-30,83,1
33,Mountain View Lodge,Miami,8.7,2024-03-29,87,1
34,Luxury Oasis Resort,Denver,7.8,2024-03-28,78,1
35,Golden Sands Inn,Los Angeles,8.5,2024-03-27,85,1
